Consumer_ID,City,State,Country,Latitude,Longitude,Smoker,Drink_Level,Transportation_Method,Marital_Status,Children,Age,Occupation,Budget,AgeGroup
U1111,San Luis Potosi,San Luis Potosi,Mexico,22.143078,-100.908523,Yes,Casual Drinker,Car,Single,Independent,21,Student,Medium,Young Adults
U1112,San Luis Potosi,San Luis Potosi,Mexico,22.143078,-100.908523,Yes,Casual Drinker,Car,Single,Independent,21,Student,Medium,Young Adults
U1113,San Luis Potosi,San Luis Potosi,Mexico,22.137343,-100.913935,No,Casual Drinker,Public,Single,Independent,22,Student,Medium,Young Adults
U1114,San Luis Potosi,San Luis Potosi,Mexico,22.177726,-101.014094,No,Abstemious,On Foot,Single,Independent,21,Student,Medium,Young Adults
U1115,San Luis Potosi,San Luis Potosi,Mexico,22.138127,-100.920512,Yes,Social Drinker,Public,Single,Independent,22,Student,Low,Young Adults
U1120,San Luis Potosi,San Luis Potosi,Mexico,22.121857,-100.904279,No,Abstemious,Public,Single,Independent,82,Student,Low,Seniors
U1124,San Luis Potosi,San Luis Potosi,Mexico,22.137072,-100.918865,No,Casual Drinker,Public,Single,Independent,21,Student,Low,Young Adults
U1125,San Luis Potosi,San Luis Potosi,Mexico,22.19204,-100.956935,No,Casual Drinker,Public,Single,Independent,22,Student,Low,Young Adults
U1126,San Luis Potosi,San Luis Potosi,Mexico,22.15421,-100.942233,No,Casual Drinker,On Foot,Single,Independent,22,Student,Low,Young Adults
U1128,San Luis Potosi,San Luis Potosi,Mexico,22.187236,-100.994213,No,Casual Drinker,Public,Single,Independent,26,Student,Low,Young Adults
U1134,San Luis Potosi,San Luis Potosi,Mexico,22.149654,-100.99861,No,Casual Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1136,San Luis Potosi,San Luis Potosi,Mexico,22.149607,-100.997235,Yes,Social Drinker,Car,Single,Independent,22,Student,Low,Young Adults
U1137,San Luis Potosi,San Luis Potosi,Mexico,22.144803,-100.944623,No,Social Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1138,San Luis Potosi,San Luis Potosi,Mexico,22.152884,-100.939663,No,Social Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1011,Ciudad Victoria,Tamaulipas,Mexico,23.724972,-99.152856,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1012,Cuernavaca,Morelos,Mexico,18.813348,-99.243697,No,Casual Drinker,Public,Single,Independent,24,Student,Medium,Young Adults
U1014,Ciudad Victoria,Tamaulipas,Mexico,23.751607,-99.170108,No,Abstemious,Public,Single,Independent,22,Student,Medium,Young Adults
U1023,Ciudad Victoria,Tamaulipas,Mexico,23.752943,-99.166589,No,Casual Drinker,Car,Single,Independent,24,Student,Low,Young Adults
U1026,Ciudad Victoria,Tamaulipas,Mexico,23.733,-99.133,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1028,Ciudad Victoria,Tamaulipas,Mexico,23.752874,-99.169242,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1030,Cuernavaca,Morelos,Mexico,18.844818,-99.182758,No,Casual Drinker,On Foot,Single,Independent,21,Student,Medium,Young Adults
U1035,Cuernavaca,Morelos,Mexico,18.839671,-99.223897,Yes,Casual Drinker,Car,Single,Independent,27,Student,Medium,Young Adults
U1040,Cuernavaca,Morelos,Mexico,18.895187,-99.18039,No,Abstemious,Public,Single,Independent,18,Student,Medium,Children and Adolescents
U1042,Cuernavaca,Morelos,Mexico,18.925773,-99.219589,No,Abstemious,Car,Single,Independent,69,Student,High,Seniors
U1043,Ciudad Victoria,Tamaulipas,Mexico,23.77103,-99.167082,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1050,Ciudad Victoria,Tamaulipas,Mexico,23.758815,-99.171216,No,Social Drinker,Car,Single,Independent,23,Student,Medium,Young Adults
U1059,Jiutepec,Morelos,Mexico,18.988278,-99.097023,No,Abstemious,On Foot,Single,Independent,25,Student,Medium,Young Adults
U1060,Ciudad Victoria,Tamaulipas,Mexico,23.715238,-99.158864,No,Casual Drinker,Public,Single,Independent,21,Student,Medium,Young Adults
U1063,Ciudad Victoria,Tamaulipas,Mexico,23.745096,-99.164357,No,Casual Drinker,Public,Single,Independent,24,Student,Medium,Young Adults
U1065,Ciudad Victoria,Tamaulipas,Mexico,23.733665,-99.105617,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1067,Ciudad Victoria,Tamaulipas,Mexico,23.752269,-99.168605,No,Abstemious,Public,Single,Independent,25,Student,Medium,Young Adults
U1068,Ciudad Victoria,Tamaulipas,Mexico,23.752269,-99.168605,No,Casual Drinker,Public,Single,Independent,24,Student,Low,Young Adults
U1070,Ciudad Victoria,Tamaulipas,Mexico,23.753237,-99.166868,No,Casual Drinker,Public,Single,Independent,21,Student,Low,Young Adults
U1072,Cuernavaca,Morelos,Mexico,18.86826,-99.212033,No,Casual Drinker,Public,Single,Independent,28,Student,Medium,Young Adults
U1080,Ciudad Victoria,Tamaulipas,Mexico,23.743793,-99.163397,Yes,Social Drinker,Car,Single,Independent,25,Student,Low,Young Adults
U1087,Ciudad Victoria,Tamaulipas,Mexico,23.753336,-99.167984,No,Abstemious,Public,Single,Independent,23,Student,Medium,Young Adults
U1093,Cuernavaca,Morelos,Mexico,18.871654,-99.183251,Yes,Casual Drinker,Car,Single,Independent,22,Student,Medium,Young Adults
U1094,Ciudad Victoria,Tamaulipas,Mexico,23.73944,-99.160548,No,Abstemious,Public,Single,Independent,21,Student,Medium,Young Adults
U1100,Jiutepec,Morelos,Mexico,18.879729,-99.067106,No,Casual Drinker,Public,Single,Independent,22,Student,Medium,Young Adults
U1110,Cuernavaca,Morelos,Mexico,18.871678,-99.183263,No,Abstemious,Car,Single,Independent,19,Student,Medium,Young Adults
U1118,Cuernavaca,Morelos,Mexico,18.940062,-99.228172,Yes,Casual Drinker,Public,Single,Independent,25,Student,Medium,Young Adults
U1119,Cuernavaca,Morelos,Mexico,18.96479,-99.260017,No,Abstemious,Public,Single,Independent,20,Student,Medium,Young Adults
U1127,Cuernavaca,Morelos,Mexico,18.943935,-99.206532,No,Abstemious,Public,Single,Independent,20,Student,Low,Young Adults
U1129,Ciudad Victoria,Tamaulipas,Mexico,23.728798,-99.134047,No,Casual Drinker,Public,Single,Independent,23,Student,Low,Young Adults
U1133,Jiutepec,Morelos,Mexico,18.886698,-99.114979,No,Abstemious,Car,Single,Independent,21,Student,Medium,Young Adults
U1004,Cuernavaca,Morelos,Mexico,18.867,-99.183,No,Abstemious,Public,Single,Independent,72,Employed,Medium,Seniors
U1013,San Luis Potosi,San Luis Potosi,Mexico,22.174624,-100.993873,No,Abstemious,Public,Single,Independent,30,Employed,Medium,Young Adults
U1020,Cuernavaca,Morelos,Mexico,18.878189,-99.222969,No,Abstemious,Public,Single,Independent,30,Employed,Medium,Young Adults
U1041,Cuernavaca,Morelos,Mexico,18.935191,-99.23624,No,Abstemious,On Foot,Single,Independent,27,Employed,Medium,Young Adults
U1051,Cuernavaca,Morelos,Mexico,18.877719,-99.22299,No,Casual Drinker,Public,Single,Independent,33,Employed,Medium,Adults
U1061,San Luis Potosi,San Luis Potosi,Mexico,22.140388,-100.937321,No,Social Drinker,Car,Single,Independent,22,Employed,Medium,Young Adults
U1069,Jiutepec,Morelos,Mexico,19.347641,-99.130229,No,Social Drinker,Public,Single,Independent,29,Employed,Medium,Young Adults
U1078,San Luis Potosi,San Luis Potosi,Mexico,22.172109,-100.963199,Yes,Social Drinker,Car,Single,Independent,29,Employed,Medium,Young Adults
U1103,Ciudad Victoria,Tamaulipas,Mexico,23.752265,-99.16859,No,Abstemious,Public,Single,Independent,23,Employed,Medium,Young Adults
U1106,Cuernavaca,Morelos,Mexico,18.927072,-99.173584,No,Casual Drinker,Car,Single,Independent,82,Employed,Medium,Seniors
U1117,Cuernavaca,Morelos,Mexico,18.875641,-99.220737,No,Abstemious,Public,Single,Independent,30,Employed,Medium,Young Adults
U1121,Cuernavaca,Morelos,Mexico,18.871674,-99.183253,No,Social Drinker,Public,Married,Independent,25,Employed,Medium,Young Adults
U1009,San Luis Potosi,San Luis Potosi,Mexico,22.159427,-100.990448,No,Abstemious,On Foot,Single,Kids,21,Student,Medium,Young Adults
U1010,San Luis Potosi,San Luis Potosi,Mexico,22.190889,-100.998669,No,Social Drinker,Car,Married,Kids,25,Student,Medium,Young Adults
U1021,Ciudad Victoria,Tamaulipas,Mexico,23.730569,-99.171883,No,Social Drinker,Car,Single,Dependent,28,Student,Medium,Young Adults
U1044,Cuernavaca,Morelos,Mexico,18.95298,-99.260789,Yes,Social Drinker,Car,Married,Kids,43,Employed,Medium,Adults
U1055,San Luis Potosi,San Luis Potosi,Mexico,22.143289,-100.987683,No,Abstemious,Car,Married,Dependent,60,Employed,Medium,Middle-aged Adults
U1073,San Luis Potosi,San Luis Potosi,Mexico,22.15,-100.983,No,Abstemious,Car,Single,Kids,23,Unemployed,Medium,Young Adults
U1074,Cuernavaca,Morelos,Mexico,18.917,-99.25,Yes,Casual Drinker,Car,Single,Kids,45,Employed,Medium,Adults
U1076,San Luis Potosi,San Luis Potosi,Mexico,22.156469,-100.98554,No,Social Drinker,Public,Married,Kids,25,Student,Medium,Young Adults
U1077,San Luis Potosi,San Luis Potosi,Mexico,22.156469,-100.98554,No,Social Drinker,Public,Married,Kids,25,Student,Medium,Young Adults
U1116,San Luis Potosi,San Luis Potosi,Mexico,22.156469,-100.98554,No,Social Drinker,Public,Married,Kids,25,Student,Medium,Young Adults
U1131,San Luis Potosi,San Luis Potosi,Mexico,22.138245,-100.910948,Yes,Social Drinker,Car,Married,Kids,22,Student,Medium,Young Adults
U1135,San Luis Potosi,San Luis Potosi,Mexico,22.170396,-100.949936,No,Casual Drinker,On Foot,Single,Kids,24,Student,Low,Young Adults
